"","county","state","estimate","variable_description","county_state"
"68","Colbert","Alabama",4573,"Bachelor Degree","Colbert, Alabama"
"69","Conecuh","Alabama",12514,"Total Population","Conecuh, Alabama"
"70","Conecuh","Alabama",1703,"Less than High School Graduates","Conecuh, Alabama"
"71","Conecuh","Alabama",4315,"High School Graduates","Conecuh, Alabama"
"72","Conecuh","Alabama",632,"Bachelor Degree","Conecuh, Alabama"
"73","Coosa","Alabama",10855,"Total Population","Coosa, Alabama"
"74","Coosa","Alabama",1675,"Less than High School Graduates","Coosa, Alabama"
"75","Coosa","Alabama",3178,"High School Graduates","Coosa, Alabama"
"76","Coosa","Alabama",706,"Bachelor Degree","Coosa, Alabama"
"77","Covington","Alabama",37351,"Total Population","Covington, Alabama"
"78","Covington","Alabama",4530,"Less than High School Graduates","Covington, Alabama"
"79","Covington","Alabama",9368,"High School Graduates","Covington, Alabama"
"80","Covington","Alabama",2539,"Bachelor Degree","Covington, Alabama"
"81","Crenshaw","Alabama",13865,"Total Population","Crenshaw, Alabama"
"82","Crenshaw","Alabama",2091,"Less than High School Graduates","Crenshaw, Alabama"
"83","Crenshaw","Alabama",3753,"High School Graduates","Crenshaw, Alabama"
"84","Crenshaw","Alabama",1100,"Bachelor Degree","Crenshaw, Alabama"
"85","Cullman","Alabama",82313,"Total Population","Cullman, Alabama"
"86","Cullman","Alabama",10405,"Less than High School Graduates","Cullman, Alabama"
"87","Cullman","Alabama",20382,"High School Graduates","Cullman, Alabama"
"88","Cullman","Alabama",5047,"Bachelor Degree","Cullman, Alabama"
"89","Dale","Alabama",49255,"Total Population","Dale, Alabama"
"90","Dale","Alabama",4732,"Less than High School Graduates","Dale, Alabama"
"91","Dale","Alabama",10924,"High School Graduates","Dale, Alabama"
"92","Dale","Alabama",3739,"Bachelor Degree","Dale, Alabama"
"93","Dallas","Alabama",40029,"Total Population","Dallas, Alabama"
"94","Dallas","Alabama",5135,"Less than High School Graduates","Dallas, Alabama"
"95","Dallas","Alabama",9368,"High School Graduates","Dallas, Alabama"
"96","Dallas","Alabama",2300,"Bachelor Degree","Dallas, Alabama"
"97","DeKalb","Alabama",71200,"Total Population","DeKalb, Alabama"
"98","DeKalb","Alabama",12394,"Less than High School Graduates","DeKalb, Alabama"
"99","DeKalb","Alabama",15956,"High School Graduates","DeKalb, Alabama"
"100","DeKalb","Alabama",3557,"Bachelor Degree","DeKalb, Alabama"
"101","Elmore","Alabama",81212,"Total Population","Elmore, Alabama"
"102","Elmore","Alabama",7594,"Less than High School Graduates","Elmore, Alabama"
"103","Elmore","Alabama",18304,"High School Graduates","Elmore, Alabama"
"104","Elmore","Alabama",8948,"Bachelor Degree","Elmore, Alabama"
"105","Escambia","Alabama",37328,"Total Population","Escambia, Alabama"
"106","Escambia","Alabama",4792,"Less than High School Graduates","Escambia, Alabama"
"107","Escambia","Alabama",11546,"High School Graduates","Escambia, Alabama"
"108","Escambia","Alabama",2079,"Bachelor Degree","Escambia, Alabama"
"109","Etowah","Alabama",102939,"Total Population","Etowah, Alabama"
"110","Etowah","Alabama",11147,"Less than High School Graduates","Etowah, Alabama"
"111","Etowah","Alabama",23665,"High School Graduates","Etowah, Alabama"
"112","Etowah","Alabama",7837,"Bachelor Degree","Etowah, Alabama"
"113","Fayette","Alabama",16585,"Total Population","Fayette, Alabama"
"114","Fayette","Alabama",2060,"Less than High School Graduates","Fayette, Alabama"
"115","Fayette","Alabama",4868,"High School Graduates","Fayette, Alabama"
"116","Fayette","Alabama",1070,"Bachelor Degree","Fayette, Alabama"
"117","Franklin","Alabama",31542,"Total Population","Franklin, Alabama"
"118","Franklin","Alabama",4835,"Less than High School Graduates","Franklin, Alabama"
"119","Franklin","Alabama",7666,"High School Graduates","Franklin, Alabama"
"120","Franklin","Alabama",1624,"Bachelor Degree","Franklin, Alabama"
"121","Geneva","Alabama",26491,"Total Population","Geneva, Alabama"
"122","Geneva","Alabama",3891,"Less than High School Graduates","Geneva, Alabama"
"123","Geneva","Alabama",6924,"High School Graduates","Geneva, Alabama"
"124","Geneva","Alabama",1298,"Bachelor Degree","Geneva, Alabama"
"125","Greene","Alabama",8426,"Total Population","Greene, Alabama"
"126","Greene","Alabama",1406,"Less than High School Graduates","Greene, Alabama"
"127","Greene","Alabama",2149,"High School Graduates","Greene, Alabama"
"128","Greene","Alabama",371,"Bachelor Degree","Greene, Alabama"
"129","Hale","Alabama",14887,"Total Population","Hale, Alabama"
"130","Hale","Alabama",1647,"Less than High School Graduates","Hale, Alabama"
"131","Hale","Alabama",4292,"High School Graduates","Hale, Alabama"
"132","Hale","Alabama",936,"Bachelor Degree","Hale, Alabama"
"133","Henry","Alabama",17124,"Total Population","Henry, Alabama"
"134","Henry","Alabama",2412,"Less than High School Graduates","Henry, Alabama"
"135","Henry","Alabama",4081,"High School Graduates","Henry, Alabama"
"136","Henry","Alabama",1300,"Bachelor Degree","Henry, Alabama"
"137","Houston","Alabama",104352,"Total Population","Houston, Alabama"
"138","Houston","Alabama",10261,"Less than High School Graduates","Houston, Alabama"
"139","Houston","Alabama",22680,"High School Graduates","Houston, Alabama"
"140","Houston","Alabama",9505,"Bachelor Degree","Houston, Alabama"
"141","Jackson","Alabama",52094,"Total Population","Jackson, Alabama"
"142","Jackson","Alabama",6526,"Less than High School Graduates","Jackson, Alabama"
"143","Jackson","Alabama",15181,"High School Graduates","Jackson, Alabama"
"144","Jackson","Alabama",3450,"Bachelor Degree","Jackson, Alabama"
"145","Jefferson","Alabama",659892,"Total Population","Jefferson, Alabama"
"146","Jefferson","Alabama",46025,"Less than High School Graduates","Jefferson, Alabama"
"147","Jefferson","Alabama",120037,"High School Graduates","Jefferson, Alabama"
"148","Jefferson","Alabama",88777,"Bachelor Degree","Jefferson, Alabama"
"149","Lamar","Alabama",13933,"Total Population","Lamar, Alabama"
"150","Lamar","Alabama",1741,"Less than High School Graduates","Lamar, Alabama"
"151","Lamar","Alabama",3950,"High School Graduates","Lamar, Alabama"
"152","Lamar","Alabama",823,"Bachelor Degree","Lamar, Alabama"
"153","Lauderdale","Alabama",92585,"Total Population","Lauderdale, Alabama"
"154","Lauderdale","Alabama",7979,"Less than High School Graduates","Lauderdale, Alabama"
"155","Lauderdale","Alabama",22812,"High School Graduates","Lauderdale, Alabama"
"156","Lauderdale","Alabama",9403,"Bachelor Degree","Lauderdale, Alabama"
"157","Lawrence","Alabama",33171,"Total Population","Lawrence, Alabama"
"158","Lawrence","Alabama",4919,"Less than High School Graduates","Lawrence, Alabama"
"159","Lawrence","Alabama",9710,"High School Graduates","Lawrence, Alabama"
"160","Lawrence","Alabama",1795,"Bachelor Degree","Lawrence, Alabama"
"161","Lee","Alabama",159287,"Total Population","Lee, Alabama"
"162","Lee","Alabama",9049,"Less than High School Graduates","Lee, Alabama"
"163","Lee","Alabama",22855,"High School Graduates","Lee, Alabama"
"164","Lee","Alabama",18645,"Bachelor Degree","Lee, Alabama"
"165","Limestone","Alabama",93052,"Total Population","Limestone, Alabama"
"166","Limestone","Alabama",10123,"Less than High School Graduates","Limestone, Alabama"
"167","Limestone","Alabama",19463,"High School Graduates","Limestone, Alabama"
"168","Limestone","Alabama",10857,"Bachelor Degree","Limestone, Alabama"
"169","Lowndes","Alabama",10236,"Total Population","Lowndes, Alabama"
"170","Lowndes","Alabama",1588,"Less than High School Graduates","Lowndes, Alabama"
"171","Lowndes","Alabama",2722,"High School Graduates","Lowndes, Alabama"
"172","Lowndes","Alabama",656,"Bachelor Degree","Lowndes, Alabama"
"173","Macon","Alabama",19054,"Total Population","Macon, Alabama"
"174","Macon","Alabama",2215,"Less than High School Graduates","Macon, Alabama"
"175","Macon","Alabama",3658,"High School Graduates","Macon, Alabama"
"176","Macon","Alabama",1363,"Bachelor Degree","Macon, Alabama"
"177","Madison","Alabama",357560,"Total Population","Madison, Alabama"
"178","Madison","Alabama",21617,"Less than High School Graduates","Madison, Alabama"
"179","Madison","Alabama",50768,"High School Graduates","Madison, Alabama"
"180","Madison","Alabama",62705,"Bachelor Degree","Madison, Alabama"
"181","Marengo","Alabama",19538,"Total Population","Marengo, Alabama"
"182","Marengo","Alabama",2192,"Less than High School Graduates","Marengo, Alabama"
"183","Marengo","Alabama",5378,"High School Graduates","Marengo, Alabama"
"184","Marengo","Alabama",1203,"Bachelor Degree","Marengo, Alabama"
"185","Marion","Alabama",29965,"Total Population","Marion, Alabama"
"186","Marion","Alabama",4343,"Less than High School Graduates","Marion, Alabama"
"187","Marion","Alabama",7435,"High School Graduates","Marion, Alabama"
"188","Marion","Alabama",1706,"Bachelor Degree","Marion, Alabama"
"189","Marshall","Alabama",95145,"Total Population","Marshall, Alabama"
"190","Marshall","Alabama",12151,"Less than High School Graduates","Marshall, Alabama"
"191","Marshall","Alabama",19818,"High School Graduates","Marshall, Alabama"
"192","Marshall","Alabama",7915,"Bachelor Degree","Marshall, Alabama"
"193","Mobile","Alabama",414659,"Total Population","Mobile, Alabama"
"194","Mobile","Alabama",38247,"Less than High School Graduates","Mobile, Alabama"
"195","Mobile","Alabama",92986,"High School Graduates","Mobile, Alabama"
"196","Mobile","Alabama",42033,"Bachelor Degree","Mobile, Alabama"
"197","Monroe","Alabama",21512,"Total Population","Monroe, Alabama"
"198","Monroe","Alabama",2409,"Less than High School Graduates","Monroe, Alabama"
"199","Monroe","Alabama",6805,"High School Graduates","Monroe, Alabama"
"200","Monroe","Alabama",1283,"Bachelor Degree","Monroe, Alabama"
"201","Montgomery","Alabama",226941,"Total Population","Montgomery, Alabama"
"202","Montgomery","Alabama",21646,"Less than High School Graduates","Montgomery, Alabama"
"203","Montgomery","Alabama",38289,"High School Graduates","Montgomery, Alabama"
"204","Montgomery","Alabama",28342,"Bachelor Degree","Montgomery, Alabama"
"205","Morgan","Alabama",119122,"Total Population","Morgan, Alabama"
"206","Morgan","Alabama",13706,"Less than High School Graduates","Morgan, Alabama"
"207","Morgan","Alabama",24350,"High School Graduates","Morgan, Alabama"
"208","Morgan","Alabama",12416,"Bachelor Degree","Morgan, Alabama"
"209","Perry","Alabama",9486,"Total Population","Perry, Alabama"
"210","Perry","Alabama",1275,"Less than High School Graduates","Perry, Alabama"
"211","Perry","Alabama",2293,"High School Graduates","Perry, Alabama"
"212","Perry","Alabama",474,"Bachelor Degree","Perry, Alabama"
"213","Pickens","Alabama",20298,"Total Population","Pickens, Alabama"
"214","Pickens","Alabama",2829,"Less than High School Graduates","Pickens, Alabama"
"215","Pickens","Alabama",5352,"High School Graduates","Pickens, Alabama"
"216","Pickens","Alabama",1357,"Bachelor Degree","Pickens, Alabama"
"217","Pike","Alabama",33403,"Total Population","Pike, Alabama"
"218","Pike","Alabama",3660,"Less than High School Graduates","Pike, Alabama"
"219","Pike","Alabama",6405,"High School Graduates","Pike, Alabama"
"220","Pike","Alabama",2846,"Bachelor Degree","Pike, Alabama"
"221","Randolph","Alabama",22574,"Total Population","Randolph, Alabama"
"222","Randolph","Alabama",3340,"Less than High School Graduates","Randolph, Alabama"
"223","Randolph","Alabama",5719,"High School Graduates","Randolph, Alabama"
"224","Randolph","Alabama",1436,"Bachelor Degree","Randolph, Alabama"
"225","Russell","Alabama",58213,"Total Population","Russell, Alabama"
"226","Russell","Alabama",6495,"Less than High School Graduates","Russell, Alabama"
"227","Russell","Alabama",12583,"High School Graduates","Russell, Alabama"
"228","Russell","Alabama",3876,"Bachelor Degree","Russell, Alabama"
"229","St. Clair","Alabama",87306,"Total Population","St. Clair, Alabama"
"230","St. Clair","Alabama",9255,"Less than High School Graduates","St. Clair, Alabama"
"231","St. Clair","Alabama",21865,"High School Graduates","St. Clair, Alabama"
"232","St. Clair","Alabama",6805,"Bachelor Degree","St. Clair, Alabama"
"233","Shelby","Alabama",211261,"Total Population","Shelby, Alabama"
"234","Shelby","Alabama",11258,"Less than High School Graduates","Shelby, Alabama"
"235","Shelby","Alabama",29106,"High School Graduates","Shelby, Alabama"
"236","Shelby","Alabama",40021,"Bachelor Degree","Shelby, Alabama"
"237","Sumter","Alabama",12985,"Total Population","Sumter, Alabama"
"238","Sumter","Alabama",1238,"Less than High School Graduates","Sumter, Alabama"
"239","Sumter","Alabama",2969,"High School Graduates","Sumter, Alabama"
"240","Sumter","Alabama",913,"Bachelor Degree","Sumter, Alabama"
"241","Talladega","Alabama",80565,"Total Population","Talladega, Alabama"
"242","Talladega","Alabama",10671,"Less than High School Graduates","Talladega, Alabama"
"243","Talladega","Alabama",19607,"High School Graduates","Talladega, Alabama"
"244","Talladega","Alabama",4993,"Bachelor Degree","Talladega, Alabama"
"245","Tallapoosa","Alabama",40636,"Total Population","Tallapoosa, Alabama"
"246","Tallapoosa","Alabama",5581,"Less than High School Graduates","Tallapoosa, Alabama"
"247","Tallapoosa","Alabama",9402,"High School Graduates","Tallapoosa, Alabama"
"248","Tallapoosa","Alabama",3426,"Bachelor Degree","Tallapoosa, Alabama"
"249","Tuscaloosa","Alabama",206213,"Total Population","Tuscaloosa, Alabama"
"250","Tuscaloosa","Alabama",14748,"Less than High School Graduates","Tuscaloosa, Alabama"
"251","Tuscaloosa","Alabama",38097,"High School Graduates","Tuscaloosa, Alabama"
"252","Tuscaloosa","Alabama",23410,"Bachelor Degree","Tuscaloosa, Alabama"
"253","Walker","Alabama",64493,"Total Population","Walker, Alabama"
"254","Walker","Alabama",8606,"Less than High School Graduates","Walker, Alabama"
"255","Walker","Alabama",16685,"High School Graduates","Walker, Alabama"
"256","Walker","Alabama",3224,"Bachelor Degree","Walker, Alabama"
"257","Washington","Alabama",16643,"Total Population","Washington, Alabama"
"258","Washington","Alabama",2243,"Less than High School Graduates","Washington, Alabama"
"259","Washington","Alabama",4954,"High School Graduates","Washington, Alabama"
"260","Washington","Alabama",771,"Bachelor Degree","Washington, Alabama"
"261","Wilcox","Alabama",10809,"Total Population","Wilcox, Alabama"
"262","Wilcox","Alabama",1662,"Less than High School Graduates","Wilcox, Alabama"
"263","Wilcox","Alabama",2903,"High School Graduates","Wilcox, Alabama"
"264","Wilcox","Alabama",642,"Bachelor Degree","Wilcox, Alabama"
"265","Winston","Alabama",23875,"Total Population","Winston, Alabama"
"266","Winston","Alabama",3755,"Less than High School Graduates","Winston, Alabama"
"267","Winston","Alabama",6420,"High School Graduates","Winston, Alabama"
"268","Winston","Alabama",1432,"Bachelor Degree","Winston, Alabama"
"269","Aleutians East Borough","Alaska",3425,"Total Population","Aleutians East Borough, Alaska"
"270","Aleutians East Borough","Alaska",358,"Less than High School Graduates","Aleutians East Borough, Alaska"
"271","Aleutians East Borough","Alaska",1061,"High School Graduates","Aleutians East Borough, Alaska"
"272","Aleutians East Borough","Alaska",235,"Bachelor Degree","Aleutians East Borough, Alaska"
"273","Aleutians West Census Area","Alaska",5750,"Total Population","Aleutians West Census Area, Alaska"
"274","Aleutians West Census Area","Alaska",459,"Less than High School Graduates","Aleutians West Census Area, Alaska"
"275","Aleutians West Census Area","Alaska",1664,"High School Graduates","Aleutians West Census Area, Alaska"
"276","Aleutians West Census Area","Alaska",536,"Bachelor Degree","Aleutians West Census Area, Alaska"
"277","Anchorage Municipality","Alaska",296112,"Total Population","Anchorage Municipality, Alaska"
"278","Anchorage Municipality","Alaska",11867,"Less than High School Graduates","Anchorage Municipality, Alaska"
"279","Anchorage Municipality","Alaska",45753,"High School Graduates","Anchorage Municipality, Alaska"
"280","Anchorage Municipality","Alaska",42077,"Bachelor Degree","Anchorage Municipality, Alaska"
"281","Bethel Census Area","Alaska",18040,"Total Population","Bethel Census Area, Alaska"
"282","Bethel Census Area","Alaska",1798,"Less than High School Graduates","Bethel Census Area, Alaska"
"283","Bethel Census Area","Alaska",4371,"High School Graduates","Bethel Census Area, Alaska"
"284","Bethel Census Area","Alaska",746,"Bachelor Degree","Bethel Census Area, Alaska"
"285","Bristol Bay Borough","Alaska",890,"Total Population","Bristol Bay Borough, Alaska"
"286","Bristol Bay Borough","Alaska",36,"Less than High School Graduates","Bristol Bay Borough, Alaska"
"287","Bristol Bay Borough","Alaska",225,"High School Graduates","Bristol Bay Borough, Alaska"
"288","Bristol Bay Borough","Alaska",116,"Bachelor Degree","Bristol Bay Borough, Alaska"
"289","Denali Borough","Alaska",2232,"Total Population","Denali Borough, Alaska"
"290","Denali Borough","Alaska",25,"Less than High School Graduates","Denali Borough, Alaska"
"291","Denali Borough","Alaska",418,"High School Graduates","Denali Borough, Alaska"
"292","Denali Borough","Alaska",461,"Bachelor Degree","Denali Borough, Alaska"
"293","Dillingham Census Area","Alaska",4975,"Total Population","Dillingham Census Area, Alaska"
"294","Dillingham Census Area","Alaska",370,"Less than High School Graduates","Dillingham Census Area, Alaska"
"295","Dillingham Census Area","Alaska",1138,"High School Graduates","Dillingham Census Area, Alaska"
"296","Dillingham Census Area","Alaska",296,"Bachelor Degree","Dillingham Census Area, Alaska"
"297","Fairbanks North Star Borough","Alaska",99653,"Total Population","Fairbanks North Star Borough, Alaska"
"298","Fairbanks North Star Borough","Alaska",3381,"Less than High School Graduates","Fairbanks North Star Borough, Alaska"
"299","Fairbanks North Star Borough","Alaska",13785,"High School Graduates","Fairbanks North Star Borough, Alaska"
"300","Fairbanks North Star Borough","Alaska",12681,"Bachelor Degree","Fairbanks North Star Borough, Alaska"
"301","Haines Borough","Alaska",2518,"Total Population","Haines Borough, Alaska"
"302","Haines Borough","Alaska",57,"Less than High School Graduates","Haines Borough, Alaska"
"303","Haines Borough","Alaska",561,"High School Graduates","Haines Borough, Alaska"
"304","Haines Borough","Alaska",439,"Bachelor Degree","Haines Borough, Alaska"
"305","Hoonah-Angoon Census Area","Alaska",2132,"Total Population","Hoonah-Angoon Census Area, Alaska"
"306","Hoonah-Angoon Census Area","Alaska",143,"Less than High School Graduates","Hoonah-Angoon Census Area, Alaska"
"307","Hoonah-Angoon Census Area","Alaska",598,"High School Graduates","Hoonah-Angoon Census Area, Alaska"
"308","Hoonah-Angoon Census Area","Alaska",294,"Bachelor Degree","Hoonah-Angoon Census Area, Alaska"
"309","Juneau City and Borough","Alaska",32330,"Total Population","Juneau City and Borough, Alaska"
"310","Juneau City and Borough","Alaska",878,"Less than High School Graduates","Juneau City and Borough, Alaska"
"311","Juneau City and Borough","Alaska",4584,"High School Graduates","Juneau City and Borough, Alaska"
"312","Juneau City and Borough","Alaska",5735,"Bachelor Degree","Juneau City and Borough, Alaska"
"313","Kenai Peninsula Borough","Alaska",58220,"Total Population","Kenai Peninsula Borough, Alaska"
"314","Kenai Peninsula Borough","Alaska",2902,"Less than High School Graduates","Kenai Peninsula Borough, Alaska"
"315","Kenai Peninsula Borough","Alaska",12989,"High School Graduates","Kenai Peninsula Borough, Alaska"
"316","Kenai Peninsula Borough","Alaska",5847,"Bachelor Degree","Kenai Peninsula Borough, Alaska"
"317","Ketchikan Gateway Borough","Alaska",13804,"Total Population","Ketchikan Gateway Borough, Alaska"
"318","Ketchikan Gateway Borough","Alaska",701,"Less than High School Graduates","Ketchikan Gateway Borough, Alaska"
"319","Ketchikan Gateway Borough","Alaska",2865,"High School Graduates","Ketchikan Gateway Borough, Alaska"
"320","Ketchikan Gateway Borough","Alaska",1632,"Bachelor Degree","Ketchikan Gateway Borough, Alaska"
"321","Kodiak Island Borough","Alaska",13649,"Total Population","Kodiak Island Borough, Alaska"
"322","Kodiak Island Borough","Alaska",889,"Less than High School Graduates","Kodiak Island Borough, Alaska"
"323","Kodiak Island Borough","Alaska",2747,"High School Graduates","Kodiak Island Borough, Alaska"
"324","Kodiak Island Borough","Alaska",1405,"Bachelor Degree","Kodiak Island Borough, Alaska"
"325","Kusilvak Census Area","Alaska",8198,"Total Population","Kusilvak Census Area, Alaska"
"326","Kusilvak Census Area","Alaska",880,"Less than High School Graduates","Kusilvak Census Area, Alaska"
"327","Kusilvak Census Area","Alaska",2117,"High School Graduates","Kusilvak Census Area, Alaska"
"328","Kusilvak Census Area","Alaska",132,"Bachelor Degree","Kusilvak Census Area, Alaska"
"329","Lake and Peninsula Borough","Alaska",1375,"Total Population","Lake and Peninsula Borough, Alaska"
"330","Lake and Peninsula Borough","Alaska",123,"Less than High School Graduates","Lake and Peninsula Borough, Alaska"
"331","Lake and Peninsula Borough","Alaska",356,"High School Graduates","Lake and Peninsula Borough, Alaska"
"332","Lake and Peninsula Borough","Alaska",69,"Bachelor Degree","Lake and Peninsula Borough, Alaska"
"333","Matanuska-Susitna Borough","Alaska",103464,"Total Population","Matanuska-Susitna Borough, Alaska"
"334","Matanuska-Susitna Borough","Alaska",5068,"Less than High School Graduates","Matanuska-Susitna Borough, Alaska"
"335","Matanuska-Susitna Borough","Alaska",21381,"High School Graduates","Matanuska-Susitna Borough, Alaska"
"336","Matanuska-Susitna Borough","Alaska",9107,"Bachelor Degree","Matanuska-Susitna Borough, Alaska"
"337","Nome Census Area","Alaska",9925,"Total Population","Nome Census Area, Alaska"
"338","Nome Census Area","Alaska",872,"Less than High School Graduates","Nome Census Area, Alaska"
"339","Nome Census Area","Alaska",2347,"High School Graduates","Nome Census Area, Alaska"
"340","Nome Census Area","Alaska",453,"Bachelor Degree","Nome Census Area, Alaska"
"341","North Slope Borough","Alaska",9797,"Total Population","North Slope Borough, Alaska"
"342","North Slope Borough","Alaska",666,"Less than High School Graduates","North Slope Borough, Alaska"
"343","North Slope Borough","Alaska",2797,"High School Graduates","North Slope Borough, Alaska"
"344","North Slope Borough","Alaska",741,"Bachelor Degree","North Slope Borough, Alaska"
"345","Northwest Arctic Borough","Alaska",7734,"Total Population","Northwest Arctic Borough, Alaska"
"346","Northwest Arctic Borough","Alaska",759,"Less than High School Graduates","Northwest Arctic Borough, Alaska"
"347","Northwest Arctic Borough","Alaska",1982,"High School Graduates","Northwest Arctic Borough, Alaska"
"348","Northwest Arctic Borough","Alaska",315,"Bachelor Degree","Northwest Arctic Borough, Alaska"
"349","Petersburg Borough","Alaska",3255,"Total Population","Petersburg Borough, Alaska"
"350","Petersburg Borough","Alaska",219,"Less than High School Graduates","Petersburg Borough, Alaska"
"351","Petersburg Borough","Alaska",680,"High School Graduates","Petersburg Borough, Alaska"
"352","Petersburg Borough","Alaska",469,"Bachelor Degree","Petersburg Borough, Alaska"
"353","Prince of Wales-Hyder Census Area","Alaska",6474,"Total Population","Prince of Wales-Hyder Census Area, Alaska"
"354","Prince of Wales-Hyder Census Area","Alaska",440,"Less than High School Graduates","Prince of Wales-Hyder Census Area, Alaska"
"355","Prince of Wales-Hyder Census Area","Alaska",1668,"High School Graduates","Prince of Wales-Hyder Census Area, Alaska"
"356","Prince of Wales-Hyder Census Area","Alaska",514,"Bachelor Degree","Prince of Wales-Hyder Census Area, Alaska"
"357","Sitka City and Borough","Alaska",8738,"Total Population","Sitka City and Borough, Alaska"
"358","Sitka City and Borough","Alaska",371,"Less than High School Graduates","Sitka City and Borough, Alaska"
"359","Sitka City and Borough","Alaska",1741,"High School Graduates","Sitka City and Borough, Alaska"
"360","Sitka City and Borough","Alaska",1256,"Bachelor Degree","Sitka City and Borough, Alaska"
